Product_name,Brand,Item_id,Swiper_count,Price
Instant Age Rewind Instant Perfector 4-In-1 Glow Makeup,Maybelline,2596456,6,$13.99
Vanish Seamless Finish Foundation Stick,HOURGLASS,2575932,6,$49.00
True Match Super-Blendable Foundation,L'OrÃ©al,2602421,7,$13.99
Futurist Skin Tint Serum Foundation SPF 27,EstÃ©e Lauder,2612381,11,$44.00
NÂ°1 DE CHANEL Revitalizing Foundation,CHANEL,2605425,nan,$78.00
LES BEIGES Water-Fresh Complexion Touch,CHANEL,2595874,2,$70.00
Sweetener Foundation,r.e.m. beauty,2603299,9,$35.00
Ambient Soft Glow Foundation,HOURGLASS,2599657,8,$58.00
Forever Natural Nude Foundation,Dior,2604394,7,$57.00
Maracuja Juicy Glow Tint,Tarte,2607571,11,$21.00
PHYTO-PIGMENTS Flawless Serum Foundation,Juice Beauty,2295701,9,$22.50
I Am Magic Velvety Matte Foundation,Juvia's Place,2550494,6,$22.00
Original Pure Serum Radiant Natural Liquid Foundation Mineral SPF 20,bareMinerals,2611614,11,$44.00
Flawless Creator Liquid Foundation Drops,Dermablend,2515171,6,$29.40
Skin Fetish: Sublime Perfection Foundation,PAT McGRATH LABS,2613894,9,$69.00
Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,EstÃ©e Lauder,2520898,2,$44.00
Fit Me Dewy + Smooth Foundation,Maybelline,2225223,6,$10.99
Can't Stop Won't Stop 24HR Full Coverage Matte Foundation,NYX Professional Makeup,2531978,8,$15.00
Born This Way Soft Matte FoundationÂ Â,Too Faced,2627298,10,$46.00
Bare With Me Blur Tint Soft Matte Foundation,NYX Professional Makeup,2601294,10,$14.00
Pro Filt'r Soft Matte Powder Foundation,FENTY BEAUTY by Rihanna,2592363,8,$28.00
Featuring You Hydrating Skin Enhancing Tint SPF 30,WYN BEAUTY,2622290,8,$20.30
Double Wear Makeup Pump,EstÃ©e Lauder,2515746,1,$10.40
Hint Hint Skin Tint,Morphe 2,2569296,6,$18.00
Camo Hydrating CC Cream SPF 30,e.l.f. Cosmetics,2617546,8,$15.00
Skin Silk Serum Foundation,Revolution Beauty,2618615,10,$14.00
I am Magic Powder Foundation,Juvia's Place,2607291,9,$18.00
Smooth Finish Foundation Powder,Laura Mercier,2586418,6,$52.00
Conceal & Define Full Coverage Foundation,Revolution Beauty,2542368,3,$12.00
Conceal + Perfect Smooth Finish Cream-To-Powder Foundation,Milani,2558962,10,$8.39
TRUE COLOR Skin Perfecting Stick Foundation SPF 15,BLK/OPL,2579236,3,$8.70
Skin Foundation Stick,BOBBI BROWN,2628927,6,$42.75
Pro Matte Mixing Pigment,L.A. Girl,2540123,2,$9.00
I am Magic Natural Radiance Foundation,Juvia's Place,2607324,9,$23.00
Mini Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25,Smashbox,2596512,11,$20.00
16h Cover & Last Powder Foundation,Essence,2597553,4,$5.99
DATE NIGHT Skin Tint Serum Foundation,Youthforia,2613504,11,$48.00
Olay Simply Ageless 3-in-1 Liquid Foundation,CoverGirl,2296380,6,$18.49
High Fidelity Foundation,Exa,2573281,5,$38.00
PhotoFocus Liquid Foundation,Wet n Wild,2518267,4,$7.49
IRL Filter Longwear Foundation,Revolution Beauty,2597565,6,$13.00
Instant Age Rewind Eraser Treatment Foundation,Maybelline,2620458,7,$14.99
Age Perfect 4-in-1 Tinted Face Balm Foundation,L'OrÃ©al,2601959,4,$8.99
Full Coverage 2-In-1 Foundation & Concealer,KIKO Milano,2576034,2,$18.20
TruBlend Matte Made Liquid Foundation,CoverGirl,2533518,8,$13.49
Illuminance Serum Tint,Revlon,2618859,10,$18.99
Beyond Matte Liquid Foundation,jane iredale,2552811,6,$41.60
Tinted Cover Foundation,NUDESTIX,2552723,6,$38.00
Illuminance Skin-Caring Foundation,Revlon,2605534,5,$17.99
Pro Coverage Liquid Foundation,L.A. Girl,2505343,2,$8.99
Mattifying Powder Foundation,Burt's Bees,2518238,5,$16.99
