,Product_name,Brand,Item_id
85,I Am Magic Velvety Matte Foundation,Juvia's Place,2550494
86,Original Pure Serum Radiant Natural Liquid Foundation Mineral SPF 20,bareMinerals,2611614
87,Flawless Creator Liquid Foundation Drops,Dermablend,2515171
88,Skin Fetish: Sublime Perfection Foundation,PAT McGRATH LABS,2613894
89,Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,EstÃ©e Lauder,2520898
90,Fit Me Dewy + Smooth Foundation,Maybelline,2225223
91,Can't Stop Won't Stop 24HR Full Coverage Matte Foundation,NYX Professional Makeup,2531978
92,Born This Way Soft Matte FoundationÂ Â,Too Faced,2627298
93,Bare With Me Blur Tint Soft Matte Foundation,NYX Professional Makeup,2601294
94,Pro Filt'r Soft Matte Powder Foundation,FENTY BEAUTY by Rihanna,2592363
95,Featuring You Hydrating Skin Enhancing Tint SPF 30,WYN BEAUTY,2622290
96,Double Wear Makeup Pump,EstÃ©e Lauder,2515746
97,Hint Hint Skin Tint,Morphe 2,2569296
98,Camo Hydrating CC Cream SPF 30,e.l.f. Cosmetics,2617546
99,Skin Silk Serum Foundation,Revolution Beauty,2618615
100,I am Magic Powder Foundation,Juvia's Place,2607291
101,Smooth Finish Foundation Powder,Laura Mercier,2586418
102,Conceal & Define Full Coverage Foundation,Revolution Beauty,2542368
103,Conceal + Perfect Smooth Finish Cream-To-Powder Foundation,Milani,2558962
104,TRUE COLOR Skin Perfecting Stick Foundation SPF 15,BLK/OPL,2579236
105,Skin Foundation Stick,BOBBI BROWN,2628927
106,Pro Matte Mixing Pigment,L.A. Girl,2540123
107,I am Magic Natural Radiance Foundation,Juvia's Place,2607324
108,Mini Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25,Smashbox,2596512
109,16h Cover & Last Powder Foundation,Essence,2597553
110,DATE NIGHT Skin Tint Serum Foundation,Youthforia,2613504
111,Olay Simply Ageless 3-in-1 Liquid Foundation,CoverGirl,2296380
112,High Fidelity Foundation,Exa,2573281
113,PhotoFocus Liquid Foundation,Wet n Wild,2518267
114,IRL Filter Longwear Foundation,Revolution Beauty,2597565
115,Instant Age Rewind Eraser Treatment Foundation,Maybelline,2620458
116,Age Perfect 4-in-1 Tinted Face Balm Foundation,L'OrÃ©al,2601959
117,Full Coverage 2-In-1 Foundation & Concealer,KIKO Milano,2576034
118,TruBlend Matte Made Liquid Foundation,CoverGirl,2533518
119,Illuminance Serum Tint,Revlon,2618859
120,Beyond Matte Liquid Foundation,jane iredale,2552811
121,Tinted Cover Foundation,NUDESTIX,2552723
122,Illuminance Skin-Caring Foundation,Revlon,2605534
123,Pro Coverage Liquid Foundation,L.A. Girl,2505343
124,Mattifying Powder Foundation,Burt's Bees,2518238
125,Clean Fresh Skin Milk Foundation,CoverGirl,2556829
126,Say What?! Foundation,UOMA Beauty,2593663
127,Lock-It Foundation,KVD Beauty,2570570
128,Velvet Matte Longwear Foundation,ULTA Beauty Collection,2560234
129,Keep Me Covered Long-Lasting Foundation,Essence,2603112
130,Travel Size Shape Tape Cloud Cream Broad Spectrum SPF 15 Sunscreen,Tarte,2590169
131,nan,nan,2607365
132,Sheer Skin Tinted Foundation,L.A. Girl,2581633
133,Get Real Serum Foundation,FLOWER Beauty,2577491
134,Moisturizing Complexion Stick,ULTA Beauty Collection,2620514
135,Illusion Hyaluronic Skin Tint,HOURGLASS,2575959
136,Refillable Compact,jane iredale,2595249
137,Pro.Matte Foundation,L.A. Girl,2522793
138,nan,nan,2553269
139,Camo Powder Foundation,e.l.f. Cosmetics,2597461
140,Velvet Veil Minerals Powder Foundation,ULTA Beauty Collection,2617164
141,Flawless Satin Foundation,e.l.f. Cosmetics,2554506
142,PRO Soft Focus Longwear Foundation,LORAC,2558415
143,Bio Powder Foundation,Well People,2553264
144,TRUE COLOR Mineral Matte CrÃ¨me Powder Foundation SPF 15,BLK/OPL,2578383
145,Keep Me Covered Powder,Essence,2618266
146,Studio Radiance Face And Body Radiant Sheer Foundation,MAC,2579193
147,Foundation Pump,NARS,2519621
148,TRUE COLOR Pore Perfecting CrÃ¨me Powder Foundation,BLK/OPL,2579249
149,Pore Perfecting Liquid Foundation,BLK/OPL,2578400
150,Kind Tint Tinted Serum,Pacifica,2591360
151,nan,nan,2564466
152,Skin by Mented Foundation,mented cosmetics,2578537
153,Studio Skin 24 Hour Full Coverage Waterproof Foundation,Smashbox,2552423
154,Trick and Treat CCÂ² Active Propolis Color Correcting Cream With Broad Spectrum SPF 45,Hey Honey,2563933
155,COMPLEXION RESCUE Natural Matte Tinted Moisturizer Mineral SPF 30,bareMinerals,2605209
156,Tinted Moisturizer Oil Free Natural Skin Perfector Broad Spectrum SPF 20,Laura Mercier,2581981
157,Mini CC+ Cream with SPF 50+,IT Cosmetics,2603716
158,Dream Fresh BB Cream 8-In-1 Skin Perfector,Maybelline,2247174
159,nan,nan,2306382
160,BB Cream SPF 20,Erborian,2597214
161,Perfect Lasting Foundation,VDL,2560248
162,Mini Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25,Smashbox,2596516
163,Mini Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,Laura Mercier,2610229
164,Mini Tinted Moisturizer Oil Free Natural Skin Perfector Broad Spectrum SPF 20,Laura Mercier,2610240
165,Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,Laura Mercier,2560092
166,Dew Skin Tinted Moisturizer,Beautycounter,2606458
167,Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25,Smashbox,2568502
168,Moisture Surge Sheertint Hydrator Broad Spectrum SPF 25 Tinted Moisturizer,Clinique,2562139
169,Hueguard Skin Tint SPF 50 Mineral Sunscreen Broad Spectrum,Live Tinted,2621475
170,Travel Size BB Cream SPF 20,Erborian,2566318
171,CC+ Cream Illumination SPF 50+,IT Cosmetics,2287681
172,CC Red Correct Green Color Corrector SPF25,Erborian,2548341
173,Radiant Skin Brightening Serum Skin Tint SPF 30,TULA,2598954
174,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,Clinique,2258299
175,Dream Pure BB Cream 8-in-1 Skin Perfector,Maybelline,2566272
176,Magic Skin Beautifier BB Cream Anti-Redness,L'OrÃ©al,2275340
177,Magic Skin Beautifier BB Cream Anti-Fatigue,L'OrÃ©al,2275341
178,Instant Age Rewind Perfector 4-In-1 Whipped Matte Makeup,Maybelline,2590459
179,Travel Size CC Cream SPF 25,Erborian,2566316
180,Pretty Fresh Hyaluronic Acid Tinted Moisturizer,ColourPop,2561451
181,CC+ Cream Natural Matte Foundation with SPF 40,IT Cosmetics,2621797
182,Pure Radiant Tinted Moisturizer SPF 30,NARS,2504411
183,CC Water with Hyaluronic Acid,Erborian,2579206
184,STEM CELLULAR CC Cream SPF 30,Juice Beauty,2561330
185,BB Blur Tinted Moisturizer Broad Spectrum SPF 30 Sunscreen,Tarte,2254185
186,Camo Hydrating CC Cream SPF 30,e.l.f. Cosmetics,2617546
187,Camo CC Cream,e.l.f. Cosmetics,2574676
188,Continuous Correction Tone-Evening CC Cream SPF 50+,Dermablend,2581037
189,Skin Trainer CC Blur,KIKO Milano,2595771
190,Studio Secrets Magic Skin Beautifier B.B. Cream,L'OrÃ©al,2246835
191,Clean Matte BB Cream,CoverGirl,2304774
192,Alight Multi-Mineral BB Cream,Pacifica,2557064
193,BB Cream with SPF 15,Burt's Bees,2306154
194,Glow Time Pro BB Cream,jane iredale,2598524
195,Beauty Balm Serum Boosted Skin Tint,Anastasia Beverly Hills,2621820
196,Skin Feels Good Hydrating Tinted Moisturizer with SPF 23,LancÃ´me,2524132
197,Strobe Dewy Skin Tint,MAC,2622240
198,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20,Tarte,2220120
199,Maracuja Vegan Tinted Moisturizer,Tarte,2562236
200,4-in-1 Tinted Moisturizer Broad Spectrum SPF 20,PÃR,2241131
201,Hydromaniac Hydrating Dewy Foundation,Urban Decay Cosmetics,2567739
202,Rosilliance Tinted Moisturizer Organic Sunscreen SPF 30,COOLA,2523612
203,Tinted Moisturizer Light Revealer Natural Skin Illuminator Broad Spectrum SPF 25,Laura Mercier,2589680
204,Water DrenchÂ Broad Spectrum SPF 45 Hyaluronic Sheer Tint Moisturizer,Peter Thomas Roth,2623408
205,Skin Treat Poreless Tinted Moisturizer SPF 20,Tarte,2592227
206,Pro Longwear Liquid Correcting Concealer,MAC,2510643
207,We're Even Hydrating Longwear Concealer,FENTY BEAUTY by Rihanna,2618097
208,Studio Fix 24-Hour Smooth Wear Fluid Correcting Concealer,MAC,2532166
209,Futurist Soft Touch Brightening Skincealer Concealer,EstÃ©e Lauder,2618165
210,Pro Fix Stick Color Correcting Concealers,NYX Professional Makeup,2617411
211,Mineral Sunscreen Multi-Defense Fluid Tinted SPF 50+,AvÃ¨ne,2625801
212,Tinted Moisturizer SPF 24,ULTA Beauty Collection,2623150
213,Bare Focus Tinted Hydrator Tinted Skin Veil,Wet n Wild,2574779
214,Glow Hydrating Skin Tint,Milani,2573972
215,Mini Radiant Creamy Concealer,NARS,2569434
216,Shape Tape Full Coverage Concealer,Tarte,2501208
217,Lightweight HD Pro Creamy Concealer,L.A. Girl,2505332
218,Travel Size BB Blur Tinted Moisturizer Broad Spectrum SPF 30 Sunscreen,Tarte,2578610
219,CCC Clean Corrective with Vitamin C Tinted Moisturizer SPF 30,Honest Beauty,2571581
220,NUDESCREEN Daily Mineral Veil SPF 30,NUDESTIX,2605942
221,Dream Tint Tinted Moisturizer,jane iredale,2544951
222,White Tea Tinted Moisturizer SPF 30,Winky Lux,2606735
223,Illusion Hyaluronic Skin Tint,HOURGLASS,2575959
224,Boi-ing Cakeless Full Coverage Waterproof Liquid Concealer,Benefit Cosmetics,2548925
225,Radiant Creamy Concealer,NARS,2504450
226,Vanish Airbrush Concealer,HOURGLASS,2575916
227,Shape Tape Ultra Creamy Concealer,Tarte,2575029
228,Travel Size Shape Tape Full Coverage Concealer,Tarte,2554049
229,Hydrating Camo Concealer,e.l.f. Cosmetics,2558525
230,Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer,IT Cosmetics,2533871
231,Soft Matte Complete Concealer,NARS,2603381
232,Even Better All-Over Concealer + Eraser,Clinique,2567323
