id,name
2614086,e.l.f. Cosmetics
2594966,bareMinerals
2617460,Stila
2602248,Youthforia
2535584,e.l.f. Cosmetics
2595875,CHANEL
2601104,e.l.f. Cosmetics
2595212,NYX Professional Makeup
2603637,Too Faced
2235623,Lancôme
2583677,BOBBI BROWN
2599451,bareMinerals
2583309,Anastasia Beverly Hills
2589667,CHANEL
2573984,Milani
2595645,Benefit Cosmetics
2514621,IT Cosmetics
2585202,NUDESTIX
2585074,Morphe 2
2620380,Benefit Cosmetics
2603000,Bliss
2153892,Stila
