,Item_id,pros,cons,rating,num_reviews,5_stars,4_stars,3_stars,2_stars,1_star
79,2588477,"['1Cooling effect', '1Lightweight', '1Non-Greasy', '1Smooth']",['1Slightly drying'],4.1,1159 Reviews,516,400,161,42,40
80,2602250,['No Pros'],['No Cons'],4.3,230 Reviews,152,38,10,13,17
81,2613929,['No Pros'],['No Cons'],5.0,3 Reviews,3,0,0,0,0
82,2572977,"['97Easy To Use', '81Lightweight', '70Effective', '50Good Value', '8Smells Great']","['2Needs to be shaken well', '1Can leave a dark residue - rub in thoroughly', '1Can leave a black residue - blend well', '1Expensive', '1Greasy']",3.4,268 Reviews,102,53,25,19,69
83,2611275,['No Pros'],"['1Feels greasy, even used in small drops.']",4.0,11 Reviews,6,3,0,0,2
84,2572964,"['140Easy To Use', '129Effective', '128Lightweight', '105Good Value', '89Smells Great']",['No Cons'],4.4,244 Reviews,161,50,13,13,7
85,2614632,['No Pros'],['No Cons'],4.5,2 Reviews,1,1,0,0,0
86,2607968,['No Pros'],['No Cons'],4.9,33 Reviews,30,3,0,0,0
87,2610656,['No Pros'],['No Cons'],5.0,1 Review,1,0,0,0,0
88,2541771,"['53Lightweight', '42Non-Greasy', '35Softens Skin', '27Soothes Skin', '18Moisturizes']","['11Not Effective', '3Heavy', '3Irritates Skin', '2Difficult to Apply', '2Bad Smell']",4.0,223 Reviews,141,26,7,10,39
89,2571848,"[""1Perfect trial size if you don't know what to buy"", '1Cruelty Free', '1Nice Formulas', '1It does the work', '1High Quality']","[""1Isn't very useful"", '1Patchy', '1I need the full size', '1Little product', '1Small']",4.4,233 Reviews,146,52,18,7,10
90,2585582,['No Pros'],['No Cons'],4.6,198 Reviews,156,18,14,4,6
91,2624329,['1It keeps you shine free for hours'],['No Cons'],4.3,33 Reviews,24,2,2,4,1
92,2603537,['No Pros'],['No Cons'],4.3,181 Reviews,107,46,9,11,8
93,2573978,"[""1It's easy to squeeze out"", '1Balancing', '1Good Price / Value', '1Good Quality SPF', '1Hydrating']","[""1Can't be used around eyes.""]",4.4,109 Reviews,80,14,5,3,7
94,2617225,['No Pros'],['No Cons'],4.4,587 Reviews,333,190,37,19,8
95,2588476,"['1Cooling effect', '1Lightweight', '1Non-Greasy', '1Smooth']",['1Slightly drying'],4.1,1159 Reviews,516,400,161,42,40
96,2581142,['No Pros'],['No Cons'],4.1,55 Reviews,32,10,6,1,6
97,2625436,['No Pros'],['No Cons'],4.5,12 Reviews,10,0,1,0,1
98,2577521,['No Pros'],['No Cons'],4.5,89 Reviews,68,9,6,2,4
99,2604781,['No Pros'],['No Cons'],4.5,8 Reviews,5,2,1,0,0
100,2603538,['No Pros'],['No Cons'],4.3,24 Reviews,17,3,0,1,3
101,2619555,['No Pros'],['No Cons'],4.0,17 Reviews,12,0,1,1,3
102,2608438,['No Pros'],['No Cons'],4.6,25 Reviews,20,3,1,0,1
103,2617931,['No Pros'],['No Cons'],4.3,37 Reviews,25,4,2,5,1
104,2621549,['No Pros'],['No Cons'],4.6,472 Reviews,331,96,28,12,5
105,2572838,"['1Simple to apply, no streaking or ghosting', '1Blurring', '1Creamy', '1Hydrating', '1Smoothing']","['1Price, but really worth it']",4.7,49 Reviews,44,1,2,0,2
106,2600210,['No Pros'],['No Cons'],4.7,955 Reviews,793,72,46,22,22
107,2588003,['No Pros'],['No Cons'],4.6,754 Reviews,526,154,51,11,12
108,2573977,"['1No allergic reaction', '1Makes my makeup last all day']",['1None'],3.7,124 Reviews,68,10,7,13,26
109,2582577,"['1Acne Fighting', '1Holds Makeup In Place', '1Light Feeling', '1Smoothing', '1Lightweight']",['No Cons'],4.4,216 Reviews,154,26,15,8,13
110,2624822,['No Pros'],['No Cons'],5.0,1 Review,1,0,0,0,0
111,2598605,['No Pros'],['No Cons'],4.5,350 Reviews,218,85,39,3,5
112,2604558,['No Pros'],['No Cons'],4.3,1117 Reviews,584,324,156,38,15
113,2573979,"['1Kindof hydrating', '1Lasts all day', '1Moisturizer']","['1Burned skin', '1Burns eyes']",4.4,88 Reviews,57,19,4,3,5
114,2583782,"['1Easy To Use', '1Effective', '1Good Value', '1Lightweight']",['No Cons'],3.2,17 Reviews,7,2,0,4,4
115,2603562,['No Pros'],['No Cons'],4.4,147 Reviews,86,42,14,2,3
116,2623403,['No Pros'],['No Cons'],4.6,282 Reviews,194,67,13,6,2
117,2583801,"['4Easy To Use', '4Effective', '3Good Value', '2Lightweight', '1Good Color Payoff']",['No Cons'],3.2,62 Reviews,19,9,10,11,13
118,2622901,['No Pros'],['No Cons'],4.7,114 Reviews,87,19,4,3,1
119,2620681,['No Pros'],['No Cons'],4.5,319 Reviews,220,65,19,8,7
120,2606440,['No Pros'],['No Cons'],4.0,1 Review,0,1,0,0,0
121,2603688,['No Pros'],['No Cons'],4.3,79 Reviews,44,22,8,2,3
122,2576209,['1Easy to apply'],['No Cons'],4.7,3 Reviews,2,1,0,0,0
123,2576111,['No Pros'],['No Cons'],3.5,6 Reviews,3,0,0,3,0
124,2621550,['No Pros'],['No Cons'],4.6,472 Reviews,331,96,28,12,5
125,2620685,['No Pros'],['No Cons'],4.5,319 Reviews,220,65,19,8,7
126,2618824,['No Pros'],['No Cons'],2.8,5 Reviews,2,0,0,1,2
127,2595006,['No Pros'],['No Cons'],4.6,393 Reviews,269,91,22,6,5
128,2596721,['No Pros'],['No Cons'],4.5,281 Reviews,171,81,23,5,1
129,2607234,['No Pros'],['No Cons'],3.3,3 Reviews,1,1,0,0,1
130,2574548,['No Pros'],['No Cons'],4.0,282 Reviews,127,78,39,19,19
131,2625953,['No Pros'],['No Cons'],4.5,1430 Reviews,905,355,136,24,10
132,2558400,"['1Glowy not shiny/greasy', '1Good for sensitive skin', '1Helps makeup stay on all day', '1Lightweight serum']",['No Cons'],4.7,44 Reviews,38,1,4,0,1
133,2618292,['No Pros'],['No Cons'],3.3,11 Reviews,5,1,0,2,3
134,2620847,['No Pros'],['No Cons'],3.5,2 Reviews,0,1,1,0,0
135,2603689,['No Pros'],['No Cons'],3.9,47 Reviews,20,11,10,4,2
136,2625952,['No Pros'],['No Cons'],4.5,1430 Reviews,905,355,136,24,10
137,2574457,"['1Cost effective', '1Smells good']","['1Difficult To Use', '1Consistency']",4.3,174 Reviews,109,36,11,12,6
138,2558428,"['1Long lasting', '1Smooth like rose petal', '1True matte']",['No Cons'],4.4,29 Reviews,19,4,4,2,0
139,2557078,['1Adds color but not a lot of shine.'],['No Cons'],4.3,676 Reviews,377,172,86,27,14
140,2604935,['No Pros'],['No Cons'],4.3,24 Reviews,14,6,2,1,1
141,2623911,['No Pros'],['No Cons'],5.0,4 Reviews,4,0,0,0,0
142,2597546,['No Pros'],['No Cons'],4.5,54 Reviews,39,9,4,0,2
143,2607233,['No Pros'],['No Cons'],4.2,6 Reviews,4,0,1,1,0
144,2607232,['No Pros'],['No Cons'],4.3,36 Reviews,20,9,6,0,1
145,2625955,['No Pros'],['No Cons'],4.5,1430 Reviews,905,355,136,24,10
146,2589823,['No Pros'],['No Cons'],4.5,97 Reviews,68,17,8,2,2
147,2604612,['No Pros'],['No Cons'],3.1,10 Reviews,4,0,2,1,3
148,2564795,"['1Glowy', '1Hydrating', '1Skin benefits', '1Smells Great']",['No Cons'],5.0,2 Reviews,2,0,0,0,0
149,2615813,['No Pros'],['No Cons'],4.7,138 Reviews,110,19,7,1,1
150,2600659,['No Pros'],['No Cons'],4.2,37 Reviews,26,3,2,1,5
151,2510253,"['294Easy To Apply', '199Looks Natural', '193Good Pigmentation', '182Blends Easily', ""161Doesn't Appear Cakey""]","[""29Doesn't Blend Well"", ""27Doesn't Apply Smoothly"", ""25Doesn't Stay On"", ""23Doesn't Work"", '21Poor Coverage']",4.0,1607 Reviews,757,411,212,100,127
152,2605151,['No Pros'],['No Cons'],4.4,128 Reviews,84,28,6,2,8
153,2542387,"['1Helps foundation last', '1Long-lasting primer', '1Neutralizes redness']",['1Very drying on the face and shows texture'],3.5,21 Reviews,10,0,4,5,2
154,2542376,['No Pros'],['No Cons'],4.2,24 Reviews,14,5,3,0,2
155,2601537,['No Pros'],['No Cons'],4.4,11 Reviews,8,0,2,1,0
156,2594562,['No Pros'],['No Cons'],4.3,3 Reviews,2,0,1,0,0
157,2623137,['No Pros'],['No Cons'],4.5,15 Reviews,12,0,2,1,0
158,2624632,['No Pros'],['No Cons'],4.6,985 Reviews,732,165,54,21,13
159,2619159,['No Pros'],['No Cons'],2.0,1 Review,0,0,0,1,0
160,2526409,"['4Lightweight', '3Easy To Apply', '3Long Lasting', '3Smooth', '2Natural Looking']",['No Cons'],3.8,14 Reviews,8,2,0,1,3
161,2603539,['No Pros'],['No Cons'],3.2,5 Reviews,2,1,0,0,2
162,2597862,['No Pros'],['No Cons'],4.0,5 Reviews,3,1,0,0,1
163,2624580,['1It keeps you shine free for hours'],['No Cons'],4.3,33 Reviews,24,2,2,4,1
164,2626706,['No Pros'],['No Cons'],4.7,508 Reviews,386,91,21,6,4
165,2620022,['No Pros'],['No Cons'],5.0,4 Reviews,4,0,0,0,0
166,2615256,['No Pros'],['No Cons'],4.5,35 Reviews,27,3,3,1,1
167,2625515,['No Pros'],['No Cons'],4.6,188 Reviews,135,36,12,3,2
